description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
 allrades,raw,Beef,100,142,5.6,1.7,61,54,88.8,13,0,6.585,0.629,0.107,0.065,0,0,0,0,0,0,0,1.04,0.595,0,0.29,0.29,1.2,23,0.072,1.54,22,0.012,198,333,25.9,3.85,21.26,1.292,1.375,1.936,0.274,3.191,1.294,0.678,0.223,0.967,1.691,1.797,0.5540.840,1.013,0.837,0.849,0.14,0.677,1.055,0,0,0,0,0,0,0,0,0,5.63,1.729,2.47,0.234,61,0,1.06,0,0,72.41,,
 allrades,raw,Beef,100,141,5,1.9,75,56,93.2,13,0,6.916,0.66,0.112,0.069,0,0,0,0,0,0,0,1.1,0.625,0,0.32,0.32,1.3,24,0.074,1.6,23,0.013,206,347,26.9,4.01,22.33,1.357,1.444,2.034,0.288,3.352,1.359,0.712,0.235,1.016,1.776,1.887,0.5810.882,1.064,0.879,0.892,0.147,0.711,1.108,0,0,0,0,0,0,0,0,0,5.04,1.864,2.029,0.218,75,0,0.99,0,0,69.95,,
 with added solution,raw,Chicken,100,108,3,0.5,64,173,74.2,8,0,7.583,1.23,0.127,0.068,36,11,0,0,0,0,0,0.19,0.761,0.02.00,0.19,0.19,0,5,0.029,0.34,25,0.011,198,332,26.4,0.63,20.32,1.153,1.335,1.858,0.207,2.925,0.874,0.736,0,0.969,1.634,1.899,0.5140.797,0.627,0.753,0.886,0.249,0.711,1.022,0,0,0,0,0,0,0,0,0,3,0.545,0.673,0.384,64,0,1.36,0,0,75.59,,
 select,raw,Beef,100,142,5.8,2.3,70,55,49.4,4,0,5.58,0.53,0.26,0.1,8,2,0,0,0,0,0,1.75,0.449,0.03.00,0.1,0.1,1.5,5,0.084,1.8,23,0.082,160,297,27,5.72,22.46,1.589,1.803,2.591,0.27,4.349,1.149,1.014,0.113,1.239,2.31,2.591,0.7101.059,1.138,1.093,1.251,0.293,1.003,1.307,0,0,0,0,0,0,0,0,0,5.78,2.313,2.83,0.396,70,0,1,0,0,71,,
 choice,raw,Lamb,100,261,21,9.1,71,56,0,19,0,6.34,0.7,0.23,0.13,0,0,0,0,0,0,0,2.5,0.14,0,0,0,0,10,0.114,1.63,23,0.019,161,235,19.9,3.13,17.21,1.035,1.023,1.515,0.205,2.498,0.841,0.545,0,0.83,1.339,1.52,0.4420.701,0.722,0.64,0.737,0.201,0.579,0.929,0,0,0,0,0,0,0,0,0,20.8,9.12,8.54,1.64,71,0,0.9,0,0,61.32,,
 select,raw,Beef,100,135,5.1,1.7,62,42,58.3,4,0,5.125,0.371,0.335,0.057,7,2,0,0,0,0,0,3.72,0.622,0.02.00,0.18,0.18,1.5,14,0.068,2.48,13,0.008,222,298,21.5,3.37,22.16,1.568,1.779,2.557,0.267,4.291,1.134,1.001,0.112,1.223,2.279,2.557,0.7001.045,1.123,1.078,1.234,0.289,0.989,1.29,0,0,0,0,0,0,0,0,0,5.1,1.706,1.799,0.375,62,0,1.1,0,0,73.04,,
 choice,raw,Beef,100,143,6.2,2.1,60,45,55,3,0,4.508,0.351,0.307,0.053,6,2,0,0,0,0,0,3.4,0.61,0.03.00,0.24,0.24,1.5,13,0.062,2.55,12,0.007,212,284,19.5,3.27,21.78,1.358,1.52,2.189,0.227,3.712,0.979,0.833,0.11,1.064,1.95,2.172,0.6040.907,0.95,0.92,1.07,0.258,0.848,1.126,0,0,0,0,0,0,0,0,0,6.16,2.123,2.338,0.45,60,0,1.11,0,0,72.04,,
 allrades,raw,Beef,100,138,5.2,1.9,53,57,95.8,13,0,7.101,0.678,0.115,0.07,0,0,0,0,0,0,0,1.13,0.642,0,0.3,0.3,1.2,25,0.076,1.64,24,0.013,211,354,27.5,4.1,22.93,1.394,1.482,2.088,0.296,3.442,1.396,0.732,0.241,1.043,1.824,1.937,0.5970.906,1.093,0.903,0.916,0.151,0.731,1.137,0,0,0,0,0,0,0,0,0,5.15,1.905,2.073,0.223,53,0,1.02,0,0,71.49,,
 choice,raw,Beef,100,174,9.5,3.5,68,51,86.2,11,0,6.658,0.603,0.087,0.055,0,0,0,0,0,0,0,1.15,0.556,0,0.33,0.33,1.3,25,0.067,1.47,21,0.013,183,313,22.1,3.61,20.64,1.255,1.335,1.88,0.266,3.099,1.257,0.659,0.217,0.939,1.642,1.745,0.5380.815,0.984,0.813,0.825,0.136,0.658,1.024,0,0,0,0,0,0,0,0,0,9.51,3.493,4.724,0.438,68,0,1,0,0,69.37,,
 select,raw,Beef,100,157,7.7,2.8,65,53,86.2,11,0,5.516,0.585,0.112,0.074,0,0,0,0,0,0,0,0.98,0.57,0,0.31,0.31,1.2,24,0.073,1.51,21,0.01,194,321,24.1,3.54,20.64,1.255,1.335,1.88,0.266,3.099,1.257,0.659,0.217,0.939,1.642,1.744,0.5380.815,0.984,0.813,0.825,0.136,0.658,1.024,0,0,0,0,0,0,0,0,0,7.68,2.822,3.816,0.354,65,0,1.06,0,0,70.73,,
 separable lean and fat,raw,Lamb,100,252,20,8.2,61,58,0,0,0,4.352,0.49,0.12,0.128,44,13,0,0,0,0,0,1.98,0.098,0.03.00,0.37,0.37,0,5,0.077,1.05,18,0.007,150,280,3,3.16,16.9,0.84,1.138,0,0.221,2.361,0.723,0.358,0,0.757,1.305,1.476,0.5510.666,0.542,0.576,0.806,0.187,0.586,0.861,0.2,0,0,0,0,0,0,0,0,20.36,8.211,5.48,0.764,61,0,0.82,0,0,62.47,,
 choice,raw,Beef,100,162,8.5,3.1,63,56,47.9,3,0,5.538,0.53,0.278,0.13,6,2,0,0,0,0,0,1.96,0.479,0.04.00,0.18,0.18,1.5,7,0.071,2.04,22,0.071,153,262,27.5,5.63,21.44,1.348,1.508,2.173,0.225,3.685,0.971,0.827,0.109,1.057,1.936,2.156,0.6000.900,0.943,0.914,1.062,0.256,0.842,1.118,0,0,0,0,0,0,0,0,0,8.5,3.057,3.576,0.467,63,0,0.97,0,0,69.22,,
 select,raw,Beef,100,246,18,7.3,85,49,0,10,0,5.228,0.554,0.106,0.07,0,0,0,0,0,0,0,0.93,0.54,0,0.4,0.4,1.6,22,0.067,1.4,20,0.009,180,297,22.4,3.28,19.56,1.189,1.265,1.782,0.252,2.937,1.191,0.624,0.206,0.89,1.556,1.653,0.5090.773,0.933,0.771,0.782,0.129,0.623,0.971,0,0,0,0,0,0,0,0,0,18,7.264,7.708,0.685,85,0,0.89,0,0,62,,
 choice,raw,Beef,100,263,20,8.1,80,48,0,10,0,6.157,0.557,0.081,0.051,0,0,0,0,0,0,0,1.06,0.514,0,0.43,0.43,1.7,24,0.063,1.38,19,0.012,172,293,20.7,3.38,19.09,1.161,1.234,1.739,0.246,2.866,1.162,0.609,0.201,0.869,1.519,1.613,0.4970.754,0.91,0.752,0.763,0.125,0.608,0.947,0,0,0,0,0,0,0,0,0,20.13,8.121,8.617,0.766,80,0,0.9,0,0,60.11,,
 choice,raw,Lamb,100,272,22,9.7,72,56,0,18,0,6.34,0.7,0.23,0.12,0,0,0,0,0,0,0,2.48,0.14,0,0.22,0.22,0,10,0.112,1.61,22,0.019,159,231,19.6,3.08,16.94,1.018,1.006,1.491,0.202,2.458,0.827,0.536,0,0.817,1.317,1.496,0.4350.689,0.71,0.63,0.725,0.198,0.569,0.914,0,0,0,0,0,0,0,0,0,22.11,9.73,9.08,1.73,72,0,0.89,0,0,60.3,,
 allrades,raw,Beef,100,223,16,7,68,66,63.3,3,0,4.351,0.649,0.144,0.074,14,4,0,0,0,0,0,2.7,0.362,0.05.00,0.15,0.15,1.5,14,0.064,2.1,19,0.009,179,329,19.8,7.26,18.86,1.076,1.242,1.691,0.198,2.983,0.86,0.611,0.129,0.802,1.517,1.649,0.5360.718,0.775,0.724,0.83,0.212,0.65,0.852,0,0,0,0,0,0,0,0,0,16.35,6.963,7.739,0.666,68,0,0.86,0,0,64.48,,
 choice,raw,Beef,100,143,6.2,2.1,60,45,53.5,3,0,4.508,0.342,0.307,0.05,0,0,0,0,0,0,0,3.4,0.61,0.03.00,0.24,0.24,1.5,13,0.062,2.55,12,0.007,212,284,19.5,3.27,21.78,1.358,1.52,2.189,0.227,3.712,0.979,0.833,0.11,1.064,1.95,2.172,0.6040.907,0.95,0.92,1.07,0.258,0.848,1.126,0,0,0,0,0,0,0,0,0,6.16,2.123,2.338,0.45,60,0,1.11,0,0,72.04,,
 select,raw,Beef,100,135,5.1,1.7,62,42,58.3,4,0,5.125,0.371,0.335,0.057,7,2,0,0,0,0,0,3.72,0.622,0.02.00,0.22,0.22,1.5,14,0.068,2.48,13,0.008,222,298,21.5,3.37,22.16,1.568,1.779,2.557,0.267,4.291,1.134,1.001,0.112,1.223,2.279,2.557,0.7001.045,1.123,1.078,1.234,0.289,0.989,1.29,0,0,0,0,0,0,0,0,0,5.1,1.706,1.799,0.375,62,0,1.1,0,0,73.04,,
 allrades,raw,Beef,100,124,3,1,59,60,94.4,13,0,6.78,0.668,0.147,0.091,0,0,0,0,0,0,0,1.6,0.667,0,0.28,0.28,1.1,20,0.101,1.96,25,0.014,219,357,28.8,4.3,22.6,1.374,1.461,2.058,0.292,3.392,1.376,0.721,0.237,1.028,1.797,1.91,0.5880.892,1.077,0.89,0.903,0.149,0.72,1.121,0,0,0,0,0,0,0,0,0,3,1.027,1.263,0.129,59,0,1.08,0,0,73.43,,
 allrades,raw,Beef,100,128,4.3,1.5,61,59,92.7,13,0,6.661,0.656,0.144,0.09,0,0,0,0,0,0,0,1.57,0.656,0,0.29,0.29,1.2,20,0.099,1.92,24,0.014,214,350,28.2,4.22,22.19,1.372,1.459,2.056,0.291,3.388,1.374,0.72,0.237,1.027,1.795,1.907,0.5880.891,1.076,0.889,0.902,0.148,0.719,1.12,0,0,0,0,0,0,0,0,0,4.31,1.476,1.816,0.185,61,0,1.09,0,0,72.58,,
 allrades,raw,Beef,100,166,7.9,3.1,69,60,92.1,12,0,6.589,0.634,0.135,0.087,0,0,0,0,0,0,0,1.59,0.653,0,0.33,0.33,1.3,21,0.097,1.85,24,0.013,212,349,26.5,4.08,22.06,1.341,1.426,2.009,0.285,3.311,1.343,0.704,0.232,1.004,1.755,1.864,0.5740.871,1.052,0.869,0.881,0.145,0.703,1.094,0,0,0,0,0,0,0,0,0,7.93,3.123,3.428,0.303,69,0,1.1,0,0,69.04,,
 select,raw,Beef,100,133,5,2,64,63,65.7,5,0,5.558,0.551,0.214,0.08,6,2,0,0,0,0,0,2.33,0.552,0.02.00,0.17,0.17,1.4,12,0.073,2.14,19,0.013,205,330,25.4,5.08,22.03,1.432,1.616,2.286,0.26,3.876,1.128,0.86,0.129,1.1,2.035,2.244,0.6550.953,1.043,0.971,1.091,0.249,0.869,1.168,0.05,0,0,0,0,0,0,0,0,4.99,1.973,2.644,0.337,64,0,1.05,0,0,72.3,,
 choice,raw,Beef,100,151,7.2,2.8,66,66,61.5,5,0,5.519,0.518,0.205,0.072,5,1,0,0,0,0,0,2.6,0.548,0.03.00,0.18,0.18,1.4,14,0.077,2.16,20,0.007,206,335,23.7,5.36,21.55,1.217,1.372,1.929,0.221,3.312,0.96,0.707,0.129,0.934,1.719,1.882,0.5670.812,0.875,0.819,0.929,0.218,0.734,0.992,0,0,0,0,0,0,0,0,0,7.24,2.755,3.406,0.353,66,0,1.01,0,0,70.24,,
 select,raw,Beef,100,116,2.5,0.9,63,55,64.1,4,0,6.155,0.37,0.25,0.064,7,2,0,0,0,0,0,1.63,0.626,0.01.00,0.21,0.21,1.5,13,0.047,2.34,12,0.003,220,316,22.7,3.54,23.59,1.668,1.893,2.721,0.284,4.567,1.207,1.065,0.119,1.302,2.426,2.721,0.7451.112,1.195,1.148,1.313,0.308,1.053,1.373,0,0,0,0,0,0,0,0,0,2.45,0.92,1.003,0.21,63,0,1.12,0,0,73.4,,
 choice,raw,Beef,100,124,3.3,1.3,61,56,65.4,4,0,6.667,0.35,0.227,0.064,7,2,0,0,0,0,0,1.66,0.641,0.01.00,0.24,0.24,1.5,13,0.048,2.35,12,0.004,221,309,21.9,3.78,23.59,1.471,1.646,2.371,0.245,4.021,1.06,0.902,0.119,1.153,2.113,2.353,0.6550.982,1.029,0.997,1.159,0.279,0.919,1.22,0,0,0,0,0,0,0,0,0,3.26,1.253,1.484,0.232,61,0,1.12,0,0,72.66,,
 select,raw,Beef,100,116,2.5,0.9,63,55,64.1,4,0,6.155,0.37,0.25,0.064,7,2,0,0,0,0,0,1.63,0.626,0.01.00,0.21,0.21,1.5,13,0.047,2.34,12,0.003,220,316,22.7,3.54,23.59,1.668,1.893,2.721,0.284,4.567,1.207,1.065,0.119,1.302,2.426,2.721,0.7451.112,1.195,1.148,1.313,0.308,1.053,1.373,0,0,0,0,0,0,0,0,0,2.45,0.92,1.003,0.21,63,0,1.12,0,0,73.4,,
 choice,raw,Beef,100,161,8.3,3.2,59,63,0,6,0,3.74,0.34,0.15,0.09,0,0,0,0,0,0,0,3.57,0.42,0,0,0,0,10,0.067,2.18,22,0.014,196,373,17.1,4.66,20.13,1.214,1.272,1.839,0.225,3.025,1.098,0.689,0,0.905,1.591,1.675,0.5150.786,0.889,0.77,0.879,0.225,0.676,0.979,0,0,0,0,0,0,0,0,0,8.3,3.23,3.56,0.27,59,0,1.01,0,0,68.7,,
 allrades,raw,Beef,100,306,26,11,70,55,69,5,0,2.8,0.31,0.13,0.08,0,0,0,0,0,0,0,2.82,0.31,0,0,0,0,9,0.059,1.74,16,0.012,156,272,16.2,3.73,16.53,0.997,1.045,1.51,0.185,2.483,0.902,0.566,0,0.743,1.306,1.375,0.4230.645,0.73,0.632,0.722,0.185,0.555,0.804,0,0,0,0,0,0,0,0,0,26.1,10.76,11.24,0.94,70,0,0.78,0,0,55.24,,
 allrades,raw,Beef,100,132,5.1,1.8,67,83,63.7,3,0,6.353,0.725,0.165,0.075,6,2,0,0,0,0,0,1.81,0.622,0.04.00,0.14,0.14,1.5,13,0.07,2.06,24,0.002,222,362,24.6,5.21,21.47,1.241,1.444,1.976,0.228,3.496,0.956,0.708,0.108,0.94,1.777,1.931,0.6260.837,0.884,0.843,0.972,0.246,0.761,0.993,0,0,0,0,0,0,0,0,0,5.11,1.844,2.728,0.253,67,0,1.03,0,0,72.7,,
 select,raw,Beef,100,159,7.6,3,66,62,89,11,0,6.252,0.603,0.113,0.087,0,0,0,0,0,0,0,1.27,0.633,0,0.32,0.32,1.3,24,0.092,1.69,23,0.013,208,346,25.6,3.98,21.3,1.295,1.377,1.94,0.275,3.198,1.297,0.68,0.224,0.969,1.694,1.8,0.5550.841,1.015,0.839,0.851,0.14,0.679,1.057,0,0,0,0,0,0,0,0,0,7.57,2.98,3.271,0.289,66,0,0.99,0,0,70.06,,
 choice,raw,Beef,100,169,9.9,3.7,67,79,61.3,3,0,6.115,0.647,0.154,0.07,12,4,0,0,0,0,0,1.68,0.586,0.04.00,0.16,0.16,1.5,13,0.069,1.98,22,0.002,212,349,21.6,4.93,20.15,1.149,1.327,1.807,0.212,3.187,0.919,0.653,0.138,0.857,1.621,1.762,0.5720.767,0.828,0.774,0.887,0.227,0.695,0.911,0,0,0,0,0,0,0,0,0,9.86,3.704,4.772,0.398,67,0,0.96,0,0,69.47,,
 prime,raw,Beef,100,281,22,9.1,67,53,79.4,6,0,3.88,0.32,0.14,0.09,0,0,0,0,0,0,0,2.75,0.39,0,0,0,0,6,0.069,1.58,18,0.012,163,295,17.3,3.14,19,1.146,1.201,1.736,0.213,2.854,1.037,0.65,0,0.854,1.502,1.581,0.4860.742,0.839,0.726,0.83,0.213,0.638,0.924,0,0,0,0,0,0,0,0,0,22.17,9.08,9.78,0.8,67,0,0.77,0,0,58.42,,
 select,raw,Beef,100,187,11,4.3,72,60,86.4,11,0,6.071,0.586,0.11,0.084,0,0,0,0,0,0,0,1.23,0.615,0,0.35,0.35,1.4,23,0.089,1.63,22,0.013,201,335,24.7,3.85,20.68,1.257,1.337,1.884,0.267,3.105,1.259,0.66,0.217,0.941,1.645,1.748,0.5390.817,0.986,0.815,0.826,0.136,0.659,1.026,0,0,0,0,0,0,0,0,0,10.93,4.303,4.723,0.417,72,0,0.99,0,0,67.44,,
 choice,raw,Beef,100,198,12,4.8,75,53,86.5,11,0,6.294,0.605,0.143,0.079,0,0,0,0,0,0,0,1.76,0.611,0,0.36,0.36,1.4,16,0.092,1.84,22,0.013,197,319,25,3.8,20.71,1.259,1.339,1.887,0.267,3.109,1.261,0.661,0.218,0.942,1.648,1.75,0.5390.818,0.987,0.816,0.827,0.136,0.66,1.028,0,0,0,0,0,0,0,0,0,12.15,4.784,5.251,0.464,75,0,1.02,0,0,66.32,,
 choice,raw,Beef,100,173,8.9,3.5,70,55,90.6,12,0,6.59,0.633,0.149,0.083,0,0,0,0,0,0,0,1.84,0.64,0,0.33,0.33,1.3,16,0.096,1.92,23,0.013,206,334,26.1,3.97,21.68,1.318,1.402,1.975,0.28,3.255,1.32,0.692,0.219,0.987,1.725,1.833,0.5650.857,1.034,0.854,0.866,0.143,0.691,1.076,0,0,0,0,0,0,0,0,0,8.91,3.509,3.851,0.34,70,0,1.03,0,0,68.57,,
 allrades,raw,Beef,100,169,10,4.3,76,85,72.7,3,0,3.523,0.73,0.2,0.08,7,2,0,0,0,0,0,3.43,0.311,0.04.00,0.17,0.17,1.5,12,0.08,2.45,21,0.013,185,307,21.5,8.15,19.68,1.138,1.324,1.812,0.21,3.206,0.877,0.649,0.099,0.862,1.629,1.771,0.5740.767,0.81,0.773,0.891,0.226,0.698,0.911,0.05,0,0,0,0,0,0,0,0,10.02,4.312,5.278,0.426,76,0,0.91,0,0,69.33,,
 prime,raw,Beef,100,335,29,12,70,53,0,5,0,3.08,0.28,0.13,0.08,0,0,0,0,0,0,0,2.97,0.35,0,0,0,0,10,0.057,1.77,17,0.012,160,286,16.3,3.62,16.74,1.01,1.058,1.529,0.187,2.515,0.913,0.573,0,0.753,1.323,1.393,0.4290.653,0.739,0.64,0.731,0.187,0.562,0.814,0,0,0,0,0,0,0,0,0,29.18,12.07,12.84,1.04,70,0,0.8,0,0,53.22,,
 choice,raw,Beef,100,161,7.4,2.9,59,56,54.4,3,0,5.412,0,0.275,0.051,0,0,0,0,0,0,0,1.93,0.647,0.03.00,0.13,0.13,1.3,18,0.058,1.98,11,0.003,209,276,23,3.61,22.13,1.264,1.414,2.037,0.211,3.454,0.911,0.775,0.102,0.991,1.815,2.021,0.5620.844,0.884,0.856,0.995,0.24,0.789,1.048,0,0,0,0,0,0,0,0,0,7.39,2.894,3.3,0.399,59,0,1.01,0,0,69.56,,
 select,raw,Beef,100,145,5.4,2.1,57,43,0,4,0,5.325,0,0.23,0,12,4,0,0,0,0,0,1.98,0.751,0.02.00,0.13,0.13,1.2,19,0.075,2.26,11,0.003,200,266,21.4,3.52,22.61,1.609,1.826,2.624,0.274,4.405,1.164,1.027,0.115,1.255,2.339,2.624,0.7191.073,1.152,1.107,1.267,0.297,1.016,1.324,0,0,0,0,0,0,0,0,0,5.41,2.051,2.15,0.285,57,0,1.03,0,0,71.46,,
 select,raw,Beef,100,158,8.5,3.4,69,82,58.6,3,0,5.875,0.73,0.154,0.079,13,4,0,0,0,0,0,1.88,0.597,0.04.00,0.11,0.11,1.5,12,0.063,2.02,22,0.002,206,336,25.4,5.05,20.57,1.173,1.354,1.845,0.216,3.254,0.938,0.667,0.141,0.875,1.655,1.799,0.5840.783,0.845,0.79,0.905,0.232,0.709,0.93,0,0,0,0,0,0,0,0,0,8.45,3.424,4.307,0.384,69,0,1.01,0,0,70.52,,
 select,raw,Beef,100,149,6.6,2.7,60,52,0,6,0,3.624,0.257,0.166,0.076,0,0,0,0,0,0,0,2.51,0.302,0,0,0,0,10,0.076,1.94,20,0.012,157,297,16.5,5.28,21.17,1.277,1.338,1.934,0.237,3.18,1.155,0.725,0,0.952,1.673,1.761,0.5420.827,0.935,0.809,0.925,0.237,0.711,1.03,0,0,0,0,0,0,0,0,0,6.57,2.65,2.771,0.189,60,0,0.93,0,0,71.33,,
 separable fat,raw,Lamb,100,640,68,35,87,22,0,3,0,6.56,0.6,0.17,0.07,0,0,0,0,0,0,0,1.73,0.03,0,0.22,0.22,0,23,0.045,1.14,6,0.003,86,51,0.9,0.85,6.92,0.416,0.411,0.609,0.083,1.004,0.338,0.219,0,0.334,0.538,0.611,0.1780.282,0.29,0.257,0.296,0.081,0.233,0.373,0,0,0,0,0,0,0,0,0,67.63,35.29,25.93,2.83,87,0,0.42,0,0,25.56,,
 choice,raw,Lamb,100,185,12,4.9,67,58,0,21,0,6.21,0.69,0.24,0.13,0,0,0,0,0,0,0,2.54,0.16,0,0,0,0,7,0.117,1.73,25,0.022,182,267,21.9,3.58,18.99,1.142,1.128,1.672,0.227,2.756,0.928,0.602,0,0.916,1.477,1.677,0.4870.773,0.797,0.706,0.813,0.222,0.638,1.025,0,0,0,0,0,0,0,0,0,11.5,4.88,4.7,0.93,67,0,1,0,0,68.73,,
 allrades,raw,Beef,100,324,28,13,75,53,0,3,0,3.807,0,0.21,0.075,19,6,0,0,0,0,0,1.55,0.368,0.09.00,0,0,1.5,10,0.06,1.63,17,0,120,218,17.1,3.85,16.15,1.001,1.1,1.574,0.165,2.641,0.795,0.605,0.11,0.752,1.392,1.547,0.4370.648,0.725,0.665,0.761,0.181,0.602,0.807,0.78,0,0,0,0,0,0,0,0,28.42,12.643,13.811,1.171,75,0,0.73,0,0,53.91,,
 choice,raw,Lamb,100,201,13,5.8,67,57,0,20,0,6.22,0.68,0.23,0.13,0,0,0,0,0,0,0,2.51,0.15,0,0.21,0.21,0,8,0.115,1.71,24,0.021,178,261,21.4,3.5,18.58,1.117,1.104,1.635,0.222,2.696,0.907,0.588,0,0.896,1.445,1.64,0.4770.756,0.779,0.691,0.795,0.217,0.624,1.002,0,0,0,0,0,0,0,0,0,13.49,5.8,5.53,1.08,67,0,0.98,0,0,67.17,,
 choice,raw,Lamb,100,259,21,8.9,72,62,0,19,0,5.43,0.67,0.2,0.11,0,0,0,0,0,0,0,2.59,0.14,0,0.22,0.22,0,17,0.096,1.48,21,0.02,160,229,19.2,4.28,16.63,1,0.988,1.464,0.199,2.413,0.812,0.527,0,0.802,1.294,1.469,0.4270.677,0.698,0.618,0.712,0.194,0.559,0.897,0,0,0,0,0,0,0,0,0,20.86,8.93,8.54,1.68,72,0,0.89,0,0,61.9,,
 allrades,raw,Beef,100,180,11,4.1,64,88,0,3,0,3.551,0,0.222,0.083,7,2,0,0,0,0,0,2.96,0.394,0.04.00,0,0,1.5,6,0.143,2.64,24,0,210,357,25.4,7.79,19.7,1.274,1.431,2.061,0.214,3.48,0.919,0.792,0.099,0.995,1.836,2.052,0.5670.850,0.896,0.866,1.003,0.239,0.797,1.052,1.51,0,0,0,0,0,0,0,0,10.6,4.066,4.735,0.409,64,0,0.89,0,0,67.31,,
 allrades,raw,Beef,100,151,7,2.8,62,55,85.6,11,0,6.119,0.589,0.125,0.081,0,0,0,0,0,0,0,1.48,0.607,0,0.3,0.3,1.2,19,0.088,1.69,22,0.012,194,318,24.2,3.72,20.48,1.245,1.324,1.866,0.264,3.075,1.247,0.654,0.215,0.932,1.629,1.731,0.5330.809,0.976,0.807,0.818,0.135,0.653,1.016,0,0,0,0,0,0,0,0,0,7.01,2.778,3.011,0.276,62,0,1,0,0,72.01,,
 select,raw,Beef,100,227,17,7.7,78,85,61.3,3,0,3.318,0.64,0.167,0.078,15,5,0,0,0,0,0,3.09,0.306,0.04.00,0.14,0.14,1.5,12,0.072,2.15,17,0.01,162,273,18.6,7.04,17.87,1.019,1.177,1.603,0.188,2.827,0.815,0.579,0.122,0.76,1.438,1.563,0.5080.680,0.734,0.686,0.786,0.201,0.616,0.808,0,0,0,0,0,0,0,0,0,17.28,7.738,8.716,0.729,78,0,0.86,0,0,64.76,,
 select,raw,Beef,100,295,25,10,70,56,0,5,0,2.64,0.33,0.14,0.08,0,0,0,0,0,0,0,2.75,0.29,0,0,0,0,8,0.06,1.74,16,0.012,155,266,15.9,3.84,16.52,0.996,1.044,1.509,0.185,2.482,0.901,0.566,0,0.743,1.306,1.374,0.4230.645,0.729,0.632,0.722,0.185,0.555,0.803,0,0,0,0,0,0,0,0,0,24.85,10.28,10.65,0.91,70,0,0.77,0,0,56.35,,
 choice,raw,Beef,100,333,29,12,72,54,0,5,0,2.57,0.32,0.13,0.08,0,0,0,0,0,0,0,2.67,0.29,0,0,0,0,8,0.058,1.68,15,0.011,150,254,15.7,3.67,16.03,0.967,1.013,1.464,0.18,2.408,0.875,0.549,0,0.721,1.267,1.334,0.4100.626,0.708,0.613,0.7,0.18,0.539,0.78,0,0,0,0,0,0,0,0,0,29.34,12.13,12.56,1.07,72,0,0.75,0,0,53,,
 choice,raw,Beef,100,240,19,8.1,73,75,64.3,3,0,3.323,0.659,0.168,0.078,14,4,0,0,0,0,0,2.9,0.296,0.05.00,0.16,0.16,1.5,11,0.069,2.3,18,0.011,167,282,19.3,7.13,17.22,0.982,1.134,1.544,0.181,2.723,0.785,0.558,0.118,0.732,1.385,1.505,0.4890.655,0.708,0.661,0.758,0.194,0.594,0.778,0,0,0,0,0,0,0,0,0,19.03,8.141,9.532,0.723,73,0,0.83,0,0,63.23,,
 choice,raw,Lamb,100,244,19,8,71,63,0,20,0,5.4,0.68,0.21,0.11,0,0,0,0,0,0,0,2.62,0.14,0,0,0,0,17,0.098,1.5,21,0.02,163,234,19.6,4.4,17.01,1.023,1.011,1.497,0.203,2.468,0.831,0.539,0,0.821,1.323,1.502,0.4370.692,0.714,0.632,0.728,0.199,0.572,0.918,0,0,0,0,0,0,0,0,0,18.97,8.04,7.76,1.54,71,0,0.91,0,0,63.39,,
 choice,raw,Lamb,100,134,5.1,1.8,66,64,0,24,0,6.33,0.74,0.25,0.14,0,0,0,0,0,0,0,2.76,0.17,0,0.24,0.24,0,7,0.132,1.83,27,0.024,189,284,23.4,3.77,20.55,1.236,1.221,1.809,0.245,2.982,1.004,0.651,0,0.991,1.598,1.815,0.5270.837,0.862,0.764,0.88,0.24,0.691,1.109,0,0,0,0,0,0,0,0,0,5.08,1.82,2.04,0.46,66,0,1.07,0,0,73.57,,
 separable lean only,raw,Lamb,100,143,6.9,2.1,58,65,0,0,0,5.204,0.578,0.142,0.138,16,5,0,0,0,0,0,2.38,0.113,0.02.00,0.21,0.21,0,5,0.092,1.16,21,0.009,175,325,3.3,3.8,20.2,1.004,1.36,0,0.264,2.822,0.864,0.428,0,0.904,1.56,1.764,0.6590.796,0.648,0.689,0.964,0.223,0.7,1.029,0,0,0,0,0,0,0,0,0,6.88,2.125,1.605,0.352,58,0,0.98,0,0,72.9,,
